"Company ID","Name","Company Domain Name","Company owner","City","Country/Region","Sistema de Ensino","State/Region","Associated Deals","Associated Company ID","Associated Company"
"5285534746","COLÉGIO BOM SAMARITANO","","Karen Bustamante","Ipuã","","COC (Arco)","SP","1.0","",""
"5285531178","COLÉGIO COC VILA YARA (PV)","","","Osasco","","COC (Arco)","SP","1.0","",""
"5285614426","COLÉGIO CONHECER","","Karen Bustamante","São Mateus","","COC (Arco)","ES","1.0","",""
"5285615674","COLÉGIO COOPERATIVO","","","Porto Ferreira","","COC (Arco)","SP","","",""
"5285629516","COLÉGIO CORAÇÃO IMACULADO DE MARIA","","Nicole Oliveira","José Bonifácio","","COC (Arco)","SP","1.0","",""
"5285538215","COLÉGIO COSTA AGUIAR","","Karen Bustamante","São Paulo","","COC (Arco)","SP","1.0","",""
"5285627627","COLÉGIO COSTA AGUIAR ARICANDUVA","","","São Paulo","","COC (Arco)","SP","","",""
"5285545154","COLÉGIO COSTA AGUIAR BABY","","","São Paulo","","COC (Arco)","SP","","",""
"5285538220","COLÉGIO CSA MARÍLIA","","","Marília","","COC (Arco)","SP","1.0","",""
"5285538230","COLÉGIO DA UNIVERSIDADE DA REGIÃO DA CAMPANHA SANTANA DO LIVRAMENTO","","","Sant'Ana do Livramento","","COC (Arco)","RS","1.0","",""
"5285545152","COLÉGIO DA URCAMP/SG","","","São Gabriel","","COC (Arco)","RS","1.0","",""
"5285515717","COLÉGIO DELOS","","","Aparecida de Goiânia","","COC (Arco)","GO","1.0","",""
"5285629508","COLÉGIO DELTA","","","Muzambinho","","COC (Arco)","MG","1.0","",""
"5285629514","COLÉGIO DINÂMICO COC SIST.","","","Cruzeiro","","COC (Arco)","SP","1.0","",""
"5285536877","COLÉGIO DIOCESANO","","","Itumbiara","","COC (Arco)","GO","1.0","",""
"5285666084","COLÉGIO EDUCAR ACREÚNA","","Karen Bustamante","Acreúna","","COC (Arco)","GO","1.0","",""
"5284588281","COLÉGIO EDUCAR RIO VERDE","","Karen Bustamante","Rio Verde","","COC (Arco)","GO","1.0","",""
"5285552706","COLÉGIO EDUKANDARIUM MONDINI","","Karen Bustamante","São Paulo","","COC (Arco)","SP","1.0","",""
"5285629518","COLÉGIO EDUKANDARIUM MONDINI - UNIDADE I E II","","Karen Bustamante","São Paulo","","COC (Arco)","SP","1.0","",""
"5285520259","COLÉGIO ELO","","Karen Bustamante","Recife","","COC (Arco)","PE","1.0","",""
"5285636028","COLÉGIO DIOCESANO LA SALLE","","","São Carlos","","COC (Arco)","SP","","",""
"5285541970","COLÉGIO DIPLOMATA","","","Feira de Santana","","COC (Arco)","BA","","",""
"5285536878","COLEGIO DIVINO SALVADOR JUNDIAÍ","","Nicole Oliveira","Jundiaí","","COC (Arco)","SP","1.0","",""
"5285614431","COLÉGIO DOM BOSCO","","Nicole Oliveira","Guariba","","COC (Arco)","SP","1.0","",""
"5285536876","COLÉGIO DOM PEDRO","","Karen Bustamante","Taboão da Serra","","COC (Arco)","SP","1.0","",""
"5285550547","COLÉGIO EDUC","","Karen Bustamante","Itaú de Minas","","COC (Arco)","MG","1.0","",""
"5285552697","COLÉGIO EDUCAR","","Karen Bustamante","Miguelópolis","","COC (Arco)","SP","1.0","",""
"5285549005","COLÉGIO EQUIPE GRAU - NILÓPOLIS","","Karen Bustamante","Nilópolis","","COC (Arco)","RJ","1.0","",""
"5285534749","COLÉGIO EQUIPE GRAU - SEC","","Karen Bustamante","Nova Iguaçu","","COC (Arco)","RJ","1.0","",""
"5285546859","COLÉGIO ESPU","","","Brasília","","COC (Arco)","DF","1.0","",""
"5284588293","COLÉGIO ESTAÇÃO","","","Macapá","","COC (Arco)","AP","1.0","",""
"5285533390","COLÉGIO EUCLIDES DA CUNHA","","","Cantagalo","","COC (Arco)","RJ","1.0","",""
"5284588290","COLÉGIO EUCLIDES DA CUNHA","","","Ilha Solteira","","COC (Arco)","SP","1.0","",""
"5285538217","COLÉGIO EVOLUÇÃO MARICÁ","","","São Bento da Lagoa Itaipuacu","","COC (Arco)","RJ","1.0","",""
