instituição,inep,cidade,company_domain_name,telefone,link_qedu,uf,cidade_encontrada
RUBEUS,31305847,MURIAÉ,https://rubeus.com.br/,(31) 3514-7911,https://www.qedu.org.br/escola/154286-colegio-cidade-de-muriae/censo-escolar,MG,"MURIAÉ
 "
UNESC - CENTRO UNIVERSITÁRIO DO ES,32010311,COLATINA,https://www.unesc.br/,(27) 3723-3000,http://www.qedu.org.br/escola/166273-colegio-marista/sobre,ES,"COLATINA
 "
ELA,35287581,SÃO PAULO,https://www.guiademoteis.com.br/sao-paulo/zona-oeste/moteis/motel-ele-ela-sao-paulo,-,http://www.qedu.org.br/escola/209262-colegio-sao-paulo/sobre,SP,"SÃO PAULO
 "
FOREDUCATION EDTECH,35173712,SÃO PAULO,https://www.foreducationedtech.com.br/,(11) 99704-6048,https://www.qedu.org.br/escola/190171-colegio-fereguetti/censo-escolar,SP,"SÃO PAULO
 "
GRUPO EDUCACIONAL CEV,22142622,TERESINA,https://grupocev.com/,-,http://www.qedu.org.br/escola/283209-grupo-educacional-cev-unidade-kennedy/sobre,PI,"TERESINA
 "
ELECTI,,BAURU,https://br.linkedin.com/jobs/view/vendedor-jr-segimento-aliment%C3%ADcio-bauru-sp-at-electi-servi%C3%A7os-2311844911,-,,SP,BAURU
MAPLE BEAR,35565751,SÃO PAULO,https://maplebear.com.br/,-,http://www.qedu.org.br/escola/276655-maple-bear-jardins/sobre,SP,"SÃO PAULO
 "
CF ENGLISH SOLUTIONS,35100493,SÃO PAULO,https://br.linkedin.com/in/fabriciosilva,-,https://www.qedu.org.br/escola/189218-eeifm-santana-colegio/sobre,SP,"SÃO PAULO
 "
TURNITIN,,SÃO PAULO,https://www.turnitin.com/pt,-,,SP,SÃO PAULO
NATIONAL GEOGRAPHIC LEARNING,35287581,SÃO PAULO,https://eltngl.com/assets/html/latam/brazil/,-,http://www.qedu.org.br/escola/209262-colegio-sao-paulo/sobre,SP,"SÃO PAULO
 "
ESCOLA DE ENSINO MÉDIO CAMINHO DO SABER,43205542,CAXIAS DO SUL,https://redecaminhodosaber.com.br/,(54) 3225-2025,http://www.qedu.org.br/escola/256055-eem-caminho-do-saber/sobre,RS,"CAXIAS DO SUL
 "
COLÉGIO VISCONDE DE PORTO SEGURO,35162243,SÃO PAULO,https://www.portoseguro.org.br/,-,http://www.qedu.org.br/escola/204726-visconde-de-porto-seguro-colegio-unidade-iii/sobre,SP,"SÃO PAULO
 "
COLÉGIO SÃO FRANCISCO DE ASSIS,52020592,ANÁPOLIS,https://refeduc.com.br/unidades/unidade.vm?id=97077077,(62) 3327-0424,http://www.qedu.org.br/escola/244513-colegio-sao-francisco-de-assis/sobre,GO,"ANÁPOLIS
 "
FACULDADE INTERNACIONAL DE EVOLUÇÃO PROFISSIONAL,29993750,SALVADOR,https://www.faculdadesfiep.com.br/site/,(71) 3363-5777,http://www.qedu.org.br/escola/132297-centro-educacional-evolucao-infantil/sobre,BA,"SALVADOR
 "
CLARETIANO - CENTRO UNIVERSITÁRIO,35030132,BURITAMA,https://claretiano.edu.br/,-,http://www.qedu.org.br/escola/185017-alvaro-alvim/censo-escolar,SP,"BURITAMA
 "
ATIVACON,50006355,CAMPO GRANDE,https://www.guiamais.com.br/campo-grande-ms/assessorias-para-empresas-e-comercio-exterior/consultoria-empresarial/2133063620-3362939/ativacon-consultoria-e-empreendimentos,-,http://www.qedu.org.br/escola/254694-ee-11-de-outubro/censo-escolar,MS,"CAMPO GRANDE
 "
