,company_id,name,company_domain_name,company_owner,city,telefone,country/region,sistema_de_ensino,state/region,associated_deals,associated_company_id,associated_company
97,5285552704,COLÉGIO BIOMÁXIMO,https://biomaximo.com.br/,Karen Bustamante,Montes Claros,(38) 3222-3801,,COC (Arco),MG,1.0,,
98,5285536882,COLÉGIO APOGEU,http://www.colegioapogeu.g12.br/,,Palmital,(18) 3351-4204,,COC (Arco),SP,1.0,,
99,5285549004,COLÉGIO APROV,https://www.coc.com.br/nossas-escolas/colegio-aprov,,Catalão,(64) 3411-3535,,COC (Arco),GO,1.0,,
100,5285515715,COLÉGIO APROV IPAMERI,https://www.coc.com.br/nossas-escolas/colegio-aprov-ipameri,,Ipameri,(64) 3491-4949,,COC (Arco),GO,1.0,,
101,5285524208,COLÉGIO ARAGUAIA,http://www.colegioaraguaia.com.br/,,Aparecida de Goiânia,(62) 3283-2802,,COC (Arco),GO,1.0,,
102,5285533397,COLÉGIO ASSOCIADOS DA ILHA,http://ilha.notredame.org.br/,,Rio de Janeiro,-,,COC (Arco),RJ,1.0,,
103,5285520261,COLÉGIO ASSUNÇÃO,https://www.colegioassuncao.com.br/,,Salvador,(71) 3328-7107,,COC (Arco),BA,1.0,,
104,5285538222,COLÉGIO CANTINHO DA SABEDORIA,https://www.coc.com.br/nossas-escolas/colegio-cantinho-da-sabedoria,,Nossa Senhora da Glória,(79) 3411-1537,,COC (Arco),SE,1.0,,
105,5284588275,COLÉGIO CENEL,http://www.cenel.com.br/,Karen Bustamante,Brasília,(61) 3483-5257,,COC (Arco),DF,1.0,,
106,5285552694,COLÉGIO CETK,https://www.cetk.com.br/,Karen Bustamante,Palhoça,(48) 3033-3099,,COC (Arco),SC,1.0,,
107,5285546870,COLÉGIO CIDADE DE CARANGOLA,https://querobolsa.com.br/escolas/colegio-cidade-de-carangola,,Carangola,-,,COC (Arco),MG,,,
108,5285549011,COLÉGIO CIDADE NOVA MATRIZ,http://www.cedemi.com.br/,,Cidade Nova IV,-,,COC (Arco),PA,,,
109,5285524202,COLÉGIO COC IMPERATRIZ,http://www.cocimperatriz.com.br/,Karen Bustamante,Imperatriz,(99) 3524-6811,,COC (Arco),MA,1.0,,
110,5285536880,COLÉGIO COC JARDIM BOTÂNICO,https://cocjardimbotanico.com.br/,Nicole Oliveira,Brasília,(61) 3254-7323,,COC (Arco),DF,1.0,,
111,5285515707,COLÉGIO COC NOVO MUNDO,http://cocnovomundo.com.br/wp/,Caroline Zilker,Praia Grande,(13) 3491-4191,,COC (Arco),SP,1.0,,
112,5285554003,COLÉGIO COC SJC UNIDADE SUL,https://www.coc.com.br/nossas-escolas/colegio-coc-sjc-unidade-sul,,São José dos Campos,-,,COC (Arco),SP,,,
113,5285517349,COLÉGIO COC TERESINA,https://cocteresina.com.br/,Karen Bustamante,Teresina,(86) 3232-5087,,COC (Arco),PI,1.0,,
