place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino,Escola é Bilíngue?,Comunidade que a escola pertence
ChIJ_QB44tV5GZURTg-pH-D7ouQ,Escola Estadual de Ensino Fundamental Fabíola Pinto Dornelles,"R. Dr. Eduardo Chartier, 1192 - Higienópolis, Porto Alegre - RS, 90520-100, Brazil",http://www.dataescolabrasil.inep.gov.br/dataEscolaBrasil/,(51) 3342-8590,43106390,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/231148-eeef-fabiola-pinto-dornelles/censo-escolar,,,
ChIJl3LBYGR5GZURJIKsB5UNLug,"Cotidiana Escola Educação Infantil, berçario, creche, jardim, maternal Porto Alegre","Rua Francisco Ferrer, 456 - Rio Branco, Porto Alegre - RS, 90420-140, Brazil",http://www.escolacotidiana.com.br/,(51) 3209-6686,43107036,"PORTO ALEGRE
 ",http://qedu.org.br/escola/234069-eeef-porto-alegre/censo-escolar,,,
ChIJpf5UQSZ5GZURS3HQjbyClDs,Aulas Particulares de Inglês - Cristina Mantovani,"R. Marcelo Gama, 1295 - Auxiliadora, Porto Alegre - RS, 90540-041, Brazil",,(51) 99115-0552,, Porto Alegre ,,,,
ChIJS1eC2X93GZUR3NVnJHMct0s,Escola Infantil Colibri,"Av. Eng. Alfredo Corrêa Daudt, 300 - Boa Vista, Porto Alegre - RS, 90480-120, Brazil",,(51) 3516-1300,43109330,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/257975-eeb-colegio-monteiro-lobato/sobre,,,
ChIJ0Qtdo7F5GZURiQbd4DxsE6s,School Our Lady of Good Counsel,"R. Ramiro Barcelos, 996 - Moinhos de Vento, Porto Alegre - RS, 90035-001, Brazil",http://www.bomconselho.com.br/,(51) 3311-0522,, Porto Alegre ,,,,
ChIJPXM8fdR5GZURAnI0u_1DPx0,Professor de Inglês em Porto Alegre - Vitor Gluszczak,"Av. Carlos Gomes, 161 - Auxiliadora, Porto Alegre - RS, 90480-000, Brazil",https://www.facebook.com/profvitorg,(51) 98249-9432,, Porto Alegre ,,,,
ChIJz3W3ktJ5GZURQu2LJEeYKRU,ESC EST DE ENS FUND VISCONDE DE PELOTAS,"R. Artur Rocha, 200 - Auxiliadora, Porto Alegre - RS, 90450-070, Brazil",http://www.faders.rs.gov.br/recursos/940,(51) 3332-1238,43107346,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/220437-eeef-visconde-de-pelotas/censo-escolar,,,
ChIJBz9Ofd15GZURbr7XZg-skfA,Curso de Inglês Online e Particular - CSE - Conversation Sem Enrolation,"R. Cel. Bordini, 174 - Auxiliadora, Porto Alegre - RS, 90550-000, Brazil",https://cseschool.com.br/,(51) 99321-2787,, Porto Alegre ,,,,
ChIJOYLoQcZ5GZUR4zy97BDheVE,Escola Estadual de Ensino Fundamental General Daltro Filho,"Av. América, 145 - Auxiliadora, Porto Alegre - RS, 90440-020, Brazil",,(51) 3343-1108,43106463,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/231154-eeef-general-daltro-filho/censo-escolar,,,
ChIJIa6tLlSdGZURb2zG81_VKM8,Escola Nossa Senhora Do Brasil,"R. Alarico Valença, 160 - Vila Joao Pessoa, Porto Alegre - RS, 91520-100, Brazil",http://escolansbrasil.com.br/,(51) 3336-4509,43105343,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/254405-eef-nossa-senhora-do-brasil/censo-escolar,,Sim,
