place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino,Escola é Bilíngue?,Comunidade que a escola pertence
ChIJCcsnOaZ5GZURvFMbVFRjGtk,Sesc,"Av. Farrapos, 146 - Floresta, Porto Alegre - RS, 90220-002, Brazil",https://www.sesc.com.br/,,43208967,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/254387-eei-do-sesc-sesquinho-navegantes/sobre,,,
ChIJl3LBYGR5GZURJIKsB5UNLug,"Cotidiana Escola Educação Infantil, berçario, creche, jardim, maternal Porto Alegre","Rua Francisco Ferrer, 456 - Rio Branco, Porto Alegre - RS, 90420-140, Brazil",http://www.escolacotidiana.com.br/,(51) 3209-6686,43107036,"PORTO ALEGRE
 ",http://qedu.org.br/escola/234069-eeef-porto-alegre/censo-escolar,,,
ChIJdRGj4Cd5GZURPN7vRXjH4Zw,Aulas de Português e Redação Maria Cristina L. Jacobs- Espaço literário,"R. André Puente, 365 - sl 01 - Independência, Porto Alegre - RS, 90035-180, Brazil",http://www.espacoliterario.com.br/,(51) 99987-7881,, Porto Alegre ,,,,
ChIJP1FC_rB5GZURkR4dSa8Pm1k,Unificado Med,"Av. Independência, 1199 - Independência, Porto Alegre - RS, 90510-030, Brazil",http://www.unificado.com.br/,(51) 3092-1640,43186700,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/219227-colegio-unificado/sobre,,,
ChIJ6QUKKQR5GZURgUuYFt4iDKw,Associação Educacional São José,"R. Duque de Caxias, 1475 - Centro, Porto Alegre - RS, 90010-280, Brazil",,(51) 3225-7499,, Porto Alegre ,,,,
ChIJ____d7F5GZURfTwpRdwSt58,Anglo Pré-Vestibular,"Praça Júlio de Castilhos, 28 - Independência, Porto Alegre - RS, 90430-020, Brazil",http://www.anglors.com,(51) 99796-2884,35142797,"SÃO JOÃO DA BOA VISTA
 ",https://www.qedu.org.br/escola/188042-sao-joao-colegio-anglo/sobre,Anglo (SOMOS),,
ChIJ5ztJDwR5GZURVt4C_6ZVph4,Apames Colégio São Luís,"R. Mal. Floriano Peixoto, 719 - Centro Histórico, Porto Alegre - RS, 90010-500, Brazil",,(51) 3713-4150,43139094,"SÃO LEOPOLDO
 ",http://www.qedu.org.br/escola/233258-colegio-sao-luis/censo-escolar,,,
ChIJsflq3XJ5GZURT8xPktmuvSs,Epuc,"R. Vig. José Inácio, 613 - Centro Histórico, Porto Alegre - RS, 90020-110, Brazil",http://escolaunicursos.com.br/,(51) 4066-0956,43104983,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/255309-colegio-israelita-brasileiro/sobre,,,
ChIJUQg4eI53GZUR_q7VNmwAQ54,Colégio Farroupilha,"R. Carlos Huber, 425 - Três Figueiras, Porto Alegre - RS, 91330-150, Brazil",http://www.colegiofarroupilha.com.br/,(51) 3455-1858,43104975,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/231686-centro-ens-medio-farroupilha/censo-escolar,,,
ChIJ1wqWFwZ5GZURTu5Tu_hZttg,Colégio Método,"Condomínio Gal Santa Fé - 5º andar, Av. Sen. Salgado Filho, 230 - Centro, Porto Alegre - RS, 90010-220, Brazil",http://colegiometodoeja.com.br/,(51) 3019-8183,43133010,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/283774-colegio-metodo/sobre,,,
ChIJbZrC31l4GZURDwArTjj_tjM,Escola Estadual Espial Renascença,"R. João Neves da Fontoura, 1 - Azenha, Porto Alegre - RS, 90050-030, Brazil",,(51) 3221-9867,43174345,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/254429-eee-renascenca/sobre,,,
ChIJIVrKyrN5GZURMIip7H7LG1E,Blue Balloon Educational Center,"R. Castro Alves, 300 - Rio Branco, Porto Alegre - RS, 90430-130, Brazil",http://www.balaoazulpoa.com.br/,(51) 3029-9801,43104975,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/231686-centro-ens-medio-farroupilha/censo-escolar,,Sim,
