,deal_id,deal_name,dominio,telefone,cidade,time_que_vai_atacar/está_atacando_a_lead,sistema_de_ensino,nível_de_crença,qualificação_socioeconômica,dominio_(url_do_site_da_escola),associated_company_id,associated_company
284,1442735741,Colégio Nossa Senhora de Fátima Sergipe,https://pt-br.facebook.com/colegionsfatima,(79) 3272-1404,Japaratuba,,,X. Churn,C/D,,2835420457,Colégio Nossa Senhora de Fátima Sergipe
285,1442735578,Exito Instituto de Educação,https://pt-br.facebook.com/exitoinstituto,(11) 2087-4830,Guarulhos,,,X. Churn,C/D,,2835452924,Exito Instituto de Educação
286,2391064661,Colégio Espaço Educativo,https://pt-br.facebook.com/pages/category/Private-School/Col%C3%A9gio-Espa%C3%A7o-Educativo-398216236968002/,(81) 3723-3972,Caruaru,,,,C/D,,4140252784,Colégio Espaço Educativo
287,2750105338,Centro Educacional Lemense,https://www.educamaisbrasil.com.br/escolas/lemense-centro-educacional,(19) 3571-0701,Leme,,,X. Churn,C/D,,4271133468,Centro Educacional Lemense
288,2461398902,Colégio Santa Joana D'Arc,https://colegiosantajoanadarc.blogspot.com/,(87) 3761-6568,Garanhuns,,,,A/B,,4201836494,Colégio Santa Joana D'Arc
289,1442735634,Colégio Marconi,https://www.colegiomarconi.com.br/,(11) 2088-4188,São paulo,,,E. Orbitando,A/B,,2835473656,Colégio Marconi
290,1447075768,Externato Santo Antonio,https://www.externato.com.br/,(11) 4227-9999,São Paulo,Conquista,,,A/B,,2835439245,Externato Santo Antonio
291,5102563595,Colégio Educador,https://colegioeducador.com.br/,(64) 3453-7111,Caldas Novas,Conquista,,,A/B,,2835429792,Colégio Educador
292,2462199453,CEFA - Centro Educacional Feliciano Azevedo - RJ,https://pt-br.facebook.com/vemprocefa/,(22) 2723-0882,Campos dos Goytacazes,,,,,,4199169266,CEFA - Centro Educacional Feliciano Azevedo - RJ
293,2634361327,Colégio Força Máxima,https://www.colegioforcamaxima.com.br/,-,Rio de Janeiro,Conquista,,D. Para puxar,A/B,,4225743203,Colégio Força Máxima
294,2461408494,Colégio Origem,https://www.origemcolegio.com.br/home,(15) 3500-8896,Cerquilho,,,D. Para puxar,A/B,,4203213613,Colégio Origem
295,2731034559,COLÉGIO DONA CLARA,https://www.donaclara.com.br/,(31) 3497-6919,Belo Horizonte,FV,,E. Orbitando,Premium,,4242999902,Colégio Dona Clara
296,2388354842,Colégio COC Araucária,https://cocaraucaria.com.br/,(41) 3031-6565,Araucária,,,D. Para puxar,A/B,,4160445229,Colégio COC Araucária
297,2461361021,Colegio La Salle,https://lasalle.edu.br/canoas,(51) 3476-8774,Canoas,,,D. Para puxar,Premium,,4201936254,Colegio La Salle
298,2654536917,Ce Olivia Lima E Jd De Inf Mirim Ltda,http://www.qedu.org.br/escola/178239-ce-olivia-lima-e-jd-de-inf-mirim-ltda/sobre,(21) 2617-9108,São Gonçalo,,,,C/D,,4229934316,Ce Olivia Lima E Jd De Inf Mirim Ltda
